기준연월	업종분류	소비액	
201801	여행업	5.92E+08	
201801	운송업	1.36E+10	
201801	쇼핑업	2.31E+11	
201801	여가서비스업	1.82E+10	
201801	식음료업	2.52E+11	
201801	숙박업	2.13E+10	
201802	여가서비스업	1.84E+10	
201802	식음료업	2.39E+11	
201802	쇼핑업	2.32E+11	
201802	운송업	1.00E+10	
201802	여행업	6.25E+08	
201802	숙박업	2.03E+10	
201803	숙박업	1.85E+10	
201803	여행업	6.09E+08	
201803	운송업	1.08E+10	
201803	쇼핑업	2.51E+11	
201803	여가서비스업	1.96E+10	
201803	식음료업	2.64E+11	
201804	여행업	6.73E+08	
201804	식음료업	2.50E+11	
201804	여가서비스업	1.94E+10	
201804	운송업	1.13E+10	
201804	숙박업	1.84E+10	
201804	쇼핑업	2.28E+11	
201805	숙박업	2.00E+10	
201805	여행업	6.58E+08	
201805	운송업	1.16E+10	
201805	쇼핑업	2.43E+11	
201805	여가서비스업	2.18E+10	
201805	식음료업	2.71E+11	
201806	숙박업	2.07E+10	
201806	식음료업	2.57E+11	
201806	여가서비스업	2.19E+10	
201806	쇼핑업	2.25E+11	
201806	운송업	1.06E+10	
201806	여행업	5.51E+08	
201807	숙박업	2.26E+10	
201807	식음료업	2.64E+11	
201807	여가서비스업	2.23E+10	
201807	운송업	1.28E+10	
201807	여행업	7.43E+08	
201807	쇼핑업	2.23E+11	
201808	숙박업	2.64E+10	
201808	여행업	5.72E+08	
201808	운송업	1.06E+10	
201808	쇼핑업	2.20E+11	
201808	여가서비스업	2.45E+10	
201808	식음료업	2.81E+11	
201809	숙박업	1.85E+10	
201809	식음료업	2.47E+11	
201809	여가서비스업	2.09E+10	
201809	쇼핑업	2.44E+11	
201809	운송업	8.99E+09	
201809	여행업	4.87E+08	
201810	식음료업	2.52E+11	
201810	여행업	7.35E+08	
201810	여가서비스업	2.10E+10	
201810	쇼핑업	2.41E+11	
201810	운송업	1.14E+10	
201810	숙박업	1.88E+10	
201811	숙박업	1.88E+10	
201811	여행업	6.19E+08	
201811	운송업	1.01E+10	
201811	쇼핑업	2.42E+11	
201811	여가서비스업	1.83E+10	
201811	식음료업	2.49E+11	
201812	숙박업	2.40E+10	
201812	여행업	8.10E+08	
201812	운송업	1.05E+10	
201812	쇼핑업	2.51E+11	
201812	여가서비스업	1.80E+10	
201812	식음료업	2.86E+11	
