기준연월	업종분류	소비액	
201901	운송업	1.47E+08	
201901	쇼핑업	3.28E+10	
201901	여가서비스업	1.36E+10	
201901	식음료업	1.04E+11	
201901	여행업	5.02E+08	
201901	숙박업	3.91E+10	
201902	식음료업	9.53E+10	
201902	여행업	4.10E+08	
201902	여가서비스업	1.32E+10	
201902	쇼핑업	3.19E+10	
201902	운송업	1.49E+08	
201902	숙박업	3.05E+10	
201903	숙박업	2.08E+10	
201903	운송업	1.82E+08	
201903	쇼핑업	3.38E+10	
201903	여가서비스업	1.92E+10	
201903	식음료업	9.90E+10	
201903	여행업	4.41E+08	
201904	운송업	2.19E+08	
201904	여행업	4.51E+08	
201904	식음료업	9.45E+10	
201904	쇼핑업	3.12E+10	
201904	숙박업	1.99E+10	
201904	여가서비스업	2.45E+10	
201905	숙박업	2.55E+10	
201905	여행업	4.42E+08	
201905	운송업	1.85E+10	
201905	쇼핑업	3.23E+10	
201905	여가서비스업	7.50E+10	
201905	식음료업	5.61E+10	
201906	숙박업	2.76E+10	
201906	식음료업	5.69E+10	
201906	여가서비스업	7.29E+10	
201906	쇼핑업	3.03E+10	
201906	운송업	1.61E+10	
201906	여행업	4.60E+08	
201907	숙박업	4.03E+10	
201907	식음료업	6.14E+10	
201907	여가서비스업	7.97E+10	
201907	운송업	1.73E+10	
201907	여행업	4.55E+08	
201907	쇼핑업	2.99E+10	
201908	숙박업	5.70E+10	
201908	여행업	6.93E+08	
201908	운송업	1.71E+10	
201908	쇼핑업	3.27E+10	
201908	여가서비스업	1.01E+11	
201908	식음료업	8.58E+10	
201909	숙박업	2.65E+10	
201909	여행업	5.87E+08	
201909	식음료업	1.07E+11	
201909	여가서비스업	2.86E+10	
201909	쇼핑업	3.38E+10	
201909	운송업	2.48E+08	
201910	식음료업	5.95E+10	
201910	여행업	6.17E+08	
201910	여가서비스업	7.32E+10	
201910	쇼핑업	3.11E+10	
201910	운송업	1.88E+10	
201910	숙박업	2.77E+10	
201911	숙박업	2.17E+10	
201911	여행업	2.39E+08	
201911	운송업	1.74E+10	
201911	쇼핑업	2.84E+10	
201911	여가서비스업	5.95E+10	
201911	식음료업	5.10E+10	
201912	숙박업	3.48E+10	
201912	운송업	2.03E+08	
201912	쇼핑업	3.54E+10	
201912	여가서비스업	1.61E+10	
201912	식음료업	1.09E+11	
201912	여행업	3.66E+08	
