기준연월	업종분류	소비액	
201901	여행업	9.98E+08	
201901	운송업	2.45E+11	
201901	쇼핑업	2.87E+11	
201901	여가서비스업	3.88E+11	
201901	식음료업	3.70E+11	
201901	숙박업	3.17E+10	
201902	여가서비스업	7.68E+10	
201902	식음료업	6.51E+11	
201902	쇼핑업	4.98E+11	
201902	운송업	2.05E+09	
201902	여행업	3.46E+08	
201902	숙박업	2.91E+10	
201903	숙박업	3.28E+10	
201903	여행업	7.07E+08	
201903	운송업	2.46E+09	
201903	쇼핑업	5.80E+11	
201903	여가서비스업	1.30E+11	
201903	식음료업	7.86E+11	
201904	여행업	6.80E+08	
201904	식음료업	7.64E+11	
201904	여가서비스업	1.48E+11	
201904	운송업	2.66E+09	
201904	숙박업	3.13E+10	
201904	쇼핑업	5.24E+11	
201905	숙박업	3.30E+10	
201905	여행업	6.67E+08	
201905	운송업	2.78E+09	
201905	쇼핑업	5.73E+11	
201905	여가서비스업	1.68E+11	
201905	식음료업	8.31E+11	
201906	숙박업	3.36E+10	
201906	식음료업	7.95E+11	
201906	여가서비스업	1.69E+11	
201906	쇼핑업	5.25E+11	
201906	운송업	2.75E+09	
201906	여행업	4.88E+08	
201907	숙박업	3.46E+10	
201907	식음료업	8.04E+11	
201907	여가서비스업	1.49E+11	
201907	운송업	1.50E+10	
201907	여행업	4.69E+08	
201907	쇼핑업	5.06E+11	
201908	숙박업	3.84E+10	
201908	여행업	4.71E+08	
201908	운송업	1.63E+10	
201908	쇼핑업	4.97E+11	
201908	여가서비스업	1.48E+11	
201908	식음료업	8.30E+11	
201909	숙박업	3.20E+10	
201909	식음료업	7.51E+11	
201909	여가서비스업	1.54E+11	
201909	쇼핑업	5.82E+11	
201909	운송업	1.48E+10	
201909	여행업	5.52E+08	
201910	식음료업	7.84E+11	
201910	여행업	5.69E+08	
201910	여가서비스업	1.67E+11	
201910	쇼핑업	5.87E+11	
201910	운송업	1.58E+10	
201910	숙박업	3.31E+10	
201911	숙박업	3.18E+10	
201911	여행업	4.80E+08	
201911	운송업	1.54E+10	
201911	쇼핑업	5.80E+11	
201911	여가서비스업	1.29E+11	
201911	식음료업	7.39E+11	
201912	숙박업	3.45E+10	
201912	여행업	4.95E+08	
201912	운송업	1.53E+10	
201912	쇼핑업	6.04E+11	
201912	여가서비스업	8.08E+10	
201912	식음료업	8.09E+11	
