기준연월	업종분류	소비액	
201901	여행업	2.25E+08	
201901	운송업	6.07E+10	
201901	쇼핑업	6.69E+10	
201901	여가서비스업	7.90E+10	
201901	식음료업	7.42E+10	
201901	숙박업	6.99E+09	
201902	여가서비스업	7.46E+10	
201902	식음료업	7.00E+10	
201902	쇼핑업	6.56E+10	
201902	운송업	6.42E+10	
201902	여행업	1.83E+08	
201902	숙박업	6.36E+09	
201903	숙박업	6.91E+09	
201903	여행업	2.10E+08	
201903	운송업	6.62E+10	
201903	쇼핑업	7.51E+10	
201903	여가서비스업	8.45E+10	
201903	식음료업	7.75E+10	
201904	여행업	1.77E+08	
201904	식음료업	7.19E+10	
201904	여가서비스업	8.12E+10	
201904	운송업	6.24E+10	
201904	숙박업	7.01E+09	
201904	쇼핑업	6.75E+10	
201905	숙박업	7.07E+09	
201905	여행업	2.02E+08	
201905	쇼핑업	1.35E+11	
201905	여가서비스업	1.40E+10	
201905	식음료업	1.59E+11	
201905	운송업	2.81E+08	
201906	숙박업	7.03E+09	
201906	운송업	2.79E+08	
201906	식음료업	1.49E+11	
201906	여가서비스업	1.34E+10	
201906	쇼핑업	1.19E+11	
201906	여행업	1.18E+08	
201907	숙박업	5.99E+09	
201907	운송업	3.08E+08	
201907	식음료업	1.51E+11	
201907	쇼핑업	1.18E+11	
201907	여행업	2.06E+08	
201907	여가서비스업	1.40E+10	
201908	숙박업	6.51E+09	
201908	여행업	8.22E+07	
201908	쇼핑업	1.12E+11	
201908	여가서비스업	1.58E+10	
201908	식음료업	1.54E+11	
201908	운송업	3.27E+08	
201909	숙박업	6.88E+09	
201909	운송업	2.51E+08	
201909	식음료업	1.47E+11	
201909	여가서비스업	1.33E+10	
201909	쇼핑업	1.33E+11	
201909	여행업	1.23E+08	
201910	운송업	2.83E+08	
201910	여행업	1.89E+08	
201910	식음료업	1.48E+11	
201910	여가서비스업	1.30E+10	
201910	쇼핑업	1.34E+11	
201910	숙박업	7.52E+09	
201911	숙박업	7.99E+09	
201911	여행업	1.78E+08	
201911	쇼핑업	1.35E+11	
201911	여가서비스업	1.11E+10	
201911	식음료업	1.46E+11	
201911	운송업	2.58E+08	
201912	숙박업	9.03E+09	
201912	여행업	1.42E+08	
201912	쇼핑업	1.42E+11	
201912	여가서비스업	1.22E+10	
201912	식음료업	1.64E+11	
201912	운송업	2.94E+08	
