기준연월,업종분류,소비액,,
201901,여행업,3.98E+10,,
201901,운송업,1.79E+11,,
201901,쇼핑업,5.58E+11,,
201901,여가서비스업,9.02E+10,,
201901,식음료업,1.15E+12,,
201901,숙박업,7.34E+10,,
201902,여가서비스업,8.48E+10,,
201902,식음료업,1.02E+12,,
201902,쇼핑업,5.54E+11,,
201902,운송업,1.59E+11,,
201902,여행업,2.99E+10,,
201902,숙박업,6.37E+10,,
201903,숙박업,6.90E+10,,
201903,여행업,2.93E+10,,
201903,운송업,1.76E+11,,
201903,쇼핑업,6.20E+11,,
201903,여가서비스업,8.23E+10,,
201903,식음료업,1.22E+12,,
201904,여행업,3.19E+10,,
201904,식음료업,1.16E+12,,
201904,여가서비스업,8.00E+10,,
201904,운송업,1.74E+11,,
201904,숙박업,6.51E+10,,
201904,쇼핑업,5.70E+11,,
201905,숙박업,7.10E+10,,
201905,여행업,3.33E+10,,
201905,운송업,1.77E+11,,
201905,쇼핑업,6.22E+11,,
201905,여가서비스업,8.75E+10,,
201905,식음료업,1.22E+12,,
201906,숙박업,6.74E+10,,
201906,식음료업,1.17E+12,,
201906,여가서비스업,9.28E+10,,
201906,쇼핑업,5.84E+11,,
201906,운송업,1.79E+11,,
201906,여행업,2.98E+10,,
201907,숙박업,6.84E+10,,
201907,식음료업,1.19E+12,,
201907,여가서비스업,1.02E+11,,
201907,운송업,1.73E+11,,
201907,여행업,3.78E+10,,
201907,쇼핑업,5.72E+11,,
201908,숙박업,7.59E+10,,
201908,여행업,2.84E+10,,
201908,운송업,1.62E+11,,
201908,쇼핑업,5.55E+11,,
201908,여가서비스업,1.12E+11,,
201908,식음료업,1.18E+12,,
201909,숙박업,6.82E+10,,
201909,식음료업,1.11E+12,,
201909,여가서비스업,8.45E+10,,
201909,쇼핑업,5.99E+11,,
201909,운송업,1.48E+11,,
201909,여행업,2.99E+10,,
201910,식음료업,1.19E+12,,
201910,여행업,2.64E+10,,
201910,여가서비스업,8.38E+10,,
201910,쇼핑업,6.08E+11,,
201910,운송업,1.62E+11,,
201910,숙박업,7.18E+10,,
201911,숙박업,7.01E+10,,
201911,여행업,2.43E+10,,
201911,운송업,1.48E+11,,
201911,쇼핑업,6.07E+11,,
201911,여가서비스업,8.08E+10,,
201911,식음료업,1.16E+12,,
201912,숙박업,9.44E+10,,
201912,여행업,3.01E+10,,
201912,운송업,1.60E+11,,
201912,쇼핑업,6.55E+11,,
201912,여가서비스업,9.04E+10,,
201912,식음료업,1.30E+12,,
