기준연월,업종분류,소비액,
202101,여행업,3.21E+08,
202101,운송업,5.57E+09,
202101,쇼핑업,1.97E+11,
202101,여가서비스업,1.15E+10,
202101,식음료업,1.90E+11,
202101,숙박업,1.59E+10,
202102,식음료업,8.58E+10,
202102,여행업,9.23E+10,
202102,여가서비스업,9.21E+10,
202102,쇼핑업,8.84E+10,
202102,운송업,2.32E+09,
202102,숙박업,1.47E+10,
202103,숙박업,1.13E+10,
202103,운송업,2.75E+09,
202103,쇼핑업,9.56E+10,
202103,여가서비스업,9.15E+10,
202103,식음료업,1.04E+11,
202103,여행업,7.25E+10,
202104,여행업,1.69E+08,
202104,식음료업,1.70E+11,
202104,여가서비스업,1.35E+10,
202104,운송업,4.07E+09,
202104,숙박업,1.23E+10,
202104,쇼핑업,1.83E+11,
202105,숙박업,1.58E+10,
202105,운송업,3.07E+09,
202105,쇼핑업,1.01E+11,
202105,여가서비스업,1.21E+11,
202105,식음료업,1.03E+11,
202105,여행업,1.17E+11,
202106,숙박업,1.68E+10,
202106,여행업,1.09E+11,
202106,식음료업,1.07E+11,
202106,여가서비스업,9.67E+10,
202106,쇼핑업,9.09E+10,
202106,운송업,2.92E+09,
202107,숙박업,1.97E+10,
202107,여행업,1.17E+11,
202107,식음료업,1.01E+11,
202107,쇼핑업,8.99E+10,
202107,운송업,2.22E+09,
202107,여가서비스업,9.38E+10,
202108,숙박업,2.07E+10,
202108,여행업,1.65E+08,
202108,운송업,4.32E+09,
202108,쇼핑업,1.69E+11,
202108,여가서비스업,1.64E+10,
202108,식음료업,1.94E+11,
202109,숙박업,1.40E+10,
202109,여행업,8.79E+10,
202109,식음료업,9.63E+10,
202109,여가서비스업,9.92E+10,
202109,쇼핑업,9.57E+10,
202109,운송업,2.49E+09,
202110,여행업,1.03E+11,
202110,운송업,3.43E+09,
202110,식음료업,1.13E+11,
202110,여가서비스업,1.06E+11,
202110,쇼핑업,1.07E+11,
202110,숙박업,1.74E+10,
202111,숙박업,1.74E+10,
202111,운송업,3.46E+09,
202111,쇼핑업,9.77E+10,
202111,여가서비스업,1.04E+11,
202111,식음료업,1.15E+11,
202111,여행업,1.04E+11,
202112,숙박업,1.54E+10,
202112,여행업,1.73E+08,
202112,운송업,3.67E+09,
202112,쇼핑업,1.82E+11,
202112,여가서비스업,1.19E+10,
202112,식음료업,1.58E+11,
