기준연월	업종분류	소비액	
202101	운송업	2.82E+09	
202101	쇼핑업	1.12E+11	
202101	여가서비스업	7.22E+09	
202101	식음료업	1.30E+11	
202101	여행업	7.58E+07	
202101	숙박업	8.78E+09	
202102	여가서비스업	8.82E+09	
202102	식음료업	1.18E+11	
202102	쇼핑업	8.39E+10	
202102	운송업	2.14E+09	
202102	여행업	4.92E+07	
202102	숙박업	7.71E+09	
202103	숙박업	6.96E+09	
202103	운송업	1.13E+09	
202103	쇼핑업	4.28E+10	
202103	여가서비스업	4.29E+10	
202103	식음료업	6.51E+10	
202103	여행업	6.27E+10	
202104	운송업	1.95E+09	
202104	여행업	6.47E+07	
202104	식음료업	1.28E+11	
202104	쇼핑업	8.06E+10	
202104	숙박업	7.15E+09	
202104	여가서비스업	1.48E+10	
202105	숙박업	9.24E+09	
202105	운송업	2.38E+09	
202105	쇼핑업	9.44E+10	
202105	여가서비스업	1.69E+10	
202105	식음료업	1.45E+11	
202105	여행업	6.87E+07	
202106	숙박업	8.28E+09	
202106	여행업	8.95E+07	
202106	식음료업	1.30E+11	
202106	여가서비스업	1.71E+10	
202106	쇼핑업	8.06E+10	
202106	운송업	2.41E+09	
202107	숙박업	9.56E+09	
202107	여행업	6.72E+07	
202107	식음료업	1.33E+11	
202107	쇼핑업	7.91E+10	
202107	운송업	2.36E+09	
202107	여가서비스업	1.62E+10	
202108	숙박업	1.09E+10	
202108	운송업	1.30E+09	
202108	쇼핑업	3.86E+10	
202108	여가서비스업	4.78E+10	
202108	식음료업	6.55E+10	
202108	여행업	7.05E+10	
202109	숙박업	7.77E+09	
202109	여행업	4.22E+07	
202109	식음료업	1.20E+11	
202109	여가서비스업	1.56E+10	
202109	쇼핑업	8.68E+10	
202109	운송업	2.18E+09	
202110	여행업	7.31E+07	
202110	운송업	3.51E+09	
202110	식음료업	1.43E+11	
202110	여가서비스업	1.83E+10	
202110	쇼핑업	9.69E+10	
202110	숙박업	9.37E+09	
202111	숙박업	8.62E+09	
202111	운송업	3.01E+09	
202111	쇼핑업	8.88E+10	
202111	여가서비스업	1.46E+10	
202111	식음료업	1.30E+11	
202111	여행업	5.23E+07	
202112	숙박업	8.36E+09	
202112	운송업	1.72E+09	
202112	쇼핑업	8.27E+10	
202112	여가서비스업	8.32E+09	
202112	식음료업	1.05E+11	
202112	여행업	4.22E+07	
