기준연월	업종분류	소비액	
202101	여행업	3.19E+08	
202101	운송업	7.28E+09	
202101	쇼핑업	3.50E+10	
202101	여가서비스업	8.80E+09	
202101	식음료업	4.90E+10	
202101	숙박업	1.38E+10	
202102	여가서비스업	9.74E+09	
202102	식음료업	4.57E+10	
202102	쇼핑업	3.18E+10	
202102	운송업	5.65E+09	
202102	여행업	2.65E+08	
202102	숙박업	1.25E+10	
202103	숙박업	1.35E+10	
202103	여행업	3.31E+08	
202103	운송업	6.08E+09	
202103	쇼핑업	3.65E+10	
202103	여가서비스업	1.14E+10	
202103	식음료업	5.11E+10	
202104	여행업	4.00E+08	
202104	식음료업	5.97E+10	
202104	여가서비스업	1.38E+10	
202104	운송업	7.90E+09	
202104	숙박업	1.69E+10	
202104	쇼핑업	4.29E+10	
202105	숙박업	2.20E+10	
202105	여행업	4.96E+08	
202105	운송업	8.72E+09	
202105	쇼핑업	5.01E+10	
202105	여가서비스업	1.73E+10	
202105	식음료업	7.09E+10	
202106	숙박업	2.22E+10	
202106	식음료업	6.92E+10	
202106	여가서비스업	1.62E+10	
202106	쇼핑업	4.65E+10	
202106	운송업	9.04E+09	
202106	여행업	5.02E+08	
202107	숙박업	2.68E+10	
202107	식음료업	7.55E+10	
202107	여가서비스업	1.56E+10	
202107	운송업	9.55E+09	
202107	여행업	6.00E+08	
202107	쇼핑업	4.13E+10	
202108	숙박업	3.10E+10	
202108	여행업	5.44E+08	
202108	운송업	9.84E+09	
202108	쇼핑업	4.64E+10	
202108	여가서비스업	1.68E+10	
202108	식음료업	8.15E+10	
202109	숙박업	1.93E+10	
202109	식음료업	5.89E+10	
202109	여가서비스업	1.36E+10	
202109	쇼핑업	4.06E+10	
202109	운송업	6.73E+09	
202109	여행업	4.54E+08	
202110	식음료업	8.24E+10	
202110	여행업	6.91E+08	
202110	여가서비스업	1.93E+10	
202110	쇼핑업	5.83E+10	
202110	운송업	1.04E+10	
202110	숙박업	2.66E+10	
202111	숙박업	2.55E+10	
202111	여행업	6.11E+08	
202111	운송업	1.00E+10	
202111	쇼핑업	6.21E+10	
202111	여가서비스업	1.69E+10	
202111	식음료업	8.17E+10	
202112	숙박업	1.96E+10	
202112	여행업	3.86E+08	
202112	운송업	6.47E+09	
202112	쇼핑업	4.63E+10	
202112	여가서비스업	1.23E+10	
202112	식음료업	5.90E+10	
