순위,관광지명,카테고리,검색건수
1,속초관광수산시장,쇼핑,"678,396"
2,강원랜드카지노,문화관광,"521,783"
3,경포해변,자연관광,"489,654"
4,속초해변,자연관광,"439,714"
5,주문진항,자연관광,"388,488"
6,낙산사,역사관광,"370,982"
7,비발디파크오션월드,문화관광,"295,630"
8,안목해변,자연관광,"294,869"
9,대포항,자연관광,"290,849"
10,남이섬,자연관광,"285,150"
11,설악케이블카,기타관광,"259,335"
12,원주소금산출렁다리,기타관광,"248,349"
13,주문진수산시장,쇼핑,"228,062"
14,대관령양떼목장,기타관광,"218,513"
15,강원랜드,문화관광,"214,181"
16,동명항,자연관광,"202,136"
17,정동진,문화관광,"183,552"
18,휘닉스평창,문화관광,"179,531"
19,월정사,역사관광,"165,435"
20,설악산국립공원,자연관광,"160,943"
21,강릉중앙시장,쇼핑,"149,251"
22,오크밸리CC,레저스포츠,"147,771"
23,정선아리랑시장,쇼핑,"139,364"
24,소양강스카이워크,문화관광,"136,512"
25,묵호항,자연관광,"134,859"
26,장호항,자연관광,"134,708"
27,낙산해변,자연관광,"131,994"
28,휴휴암,역사관광,"126,104"
29,정동심곡바다부채길,레저스포츠,"121,806"
30,속삭이는자작나무숲,자연관광,"121,716"
31,경포대,역사관광,"112,299"
32,영금정전망대,문화관광,"109,973"
33,고성통일전망대,문화관광,"109,231"
34,서피비치,레저스포츠,"105,497"
35,강문해변,자연관광,"99,969"
36,하조대해변,자연관광,"90,646"
37,센추리21CC,레저스포츠,"90,330"
38,삼척항,자연관광,"89,663"
39,속초항,자연관광,"87,444"
40,도깨비촬영지(영진해변),문화관광,"85,846"
41,제이드가든,문화관광,"83,951"
42,고석정국민관광지,문화관광,"80,864"
43,오죽헌,역사관광,"79,770"
44,망상해수욕장,자연관광,"79,573"
45,엘리시안강촌CC,레저스포츠,"78,587"
46,외옹치항,자연관광,"76,114"
47,오크밸리스노우파크,레저스포츠,"74,864"
48,샤인데일골프앤리조트,레저스포츠,"72,187"
49,미로예술원주중앙시장,쇼핑,"71,536"
50,뮤지엄산,문화관광,"71,467"
51,설악워터피아,문화관광,"71,216"
52,하이원워터월드,문화관광,"69,723"
53,백담사,역사관광,"68,237"
54,오색약수터,자연관광,"67,976"
55,촛대바위,기타관광,"67,067"
56,주문진해변,자연관광,"64,974"
57,엘리시안강촌스키장,레저스포츠,"64,288"
58,양양전통시장,쇼핑,"64,212"
59,클럽모우GC,레저스포츠,"64,207"
60,더플레이어스골프클럽,레저스포츠,"64,087"
61,환선굴,자연관광,"62,354"
62,임원항,자연관광,"61,943"
63,알파카월드,기타관광,"61,183"
64,죽도해변,자연관광,"60,218"
65,휘닉스평창블루캐니언,문화관광,"59,367"
66,정동진해변,자연관광,"58,442"
67,송지호해변,자연관광,"58,127"
68,강릉항,자연관광,"57,590"
69,인제스피디움,레저스포츠,"56,976"
70,아야진해수욕장,자연관광,"56,484"
71,아바이마을갯배청호동선착장,기타관광,"55,056"
72,CGV춘천,문화관광,"54,107"
73,화천산천어축제,문화관광,"53,890"
74,월정사전나무숲,기타관광,"53,792"
75,하조대,역사관광,"50,908"
76,소노펠리체CC,레저스포츠,"50,733"
77,청령포,역사관광,"50,719"
78,한반도지형,문화관광,"50,587"
79,병방치스카이워크,문화관광,"50,361"
80,척산온천장,체험관광,"50,248"
81,애니메이션박물관,문화관광,"50,227"
82,라비에벨CC올드코스,레저스포츠,"49,969"
83,대명비발디파크메인센터,문화관광,"49,627"
84,라데나GC,레저스포츠,"49,517"
85,홍천은행나무숲,기타관광,"49,458"
86,동원썬밸리CC,레저스포츠,"49,352"
87,삼척해상케이블카장호역,기타관광,"48,839"
88,힐드로사이CC,레저스포츠,"48,794"
89,웰리힐리CC,레저스포츠,"48,551"
90,오너스GC,레저스포츠,"48,264"
91,남춘천CC,레저스포츠,"48,165"
92,세이지우드CC홍천,레저스포츠,"47,682"
93,로드힐스골프앤리조트,레저스포츠,"47,652"
94,척산온천휴양촌,체험관광,"47,310"
95,거진항,자연관광,"47,073"
96,물치항,자연관광,"46,918"
97,대명비발디파크CC,레저스포츠,"46,488"
98,화암동굴,자연관광,"46,348"
99,파가니카CC,레저스포츠,"45,751"
100,하조대전망대,문화관광,"45,717"
101,삼척해양레일바이크궁촌정거장,레저스포츠,"45,407"
102,알프스대영CC,레저스포츠,"45,353"
103,벨라스톤CC,레저스포츠,"44,906"
104,아들바위공원,문화관광,"44,425"
105,고씨동굴,자연관광,"43,058"
106,서부시장,쇼핑,"42,441"
107,외옹치해변,자연관광,"41,094"
108,화진포해변,자연관광,"40,829"
109,휘닉스스노우파크,레저스포츠,"40,764"
110,비발디파크스키월드,레저스포츠,"40,610"
111,강촌레일파크김유정역,레저스포츠,"40,502"
112,정선레일바이크,레저스포츠,"40,400"
113,평창송어축제,문화관광,"40,168"
114,삼척해상케이블카용화역,기타관광,"39,602"
115,외옹치바다향기로,레저스포츠,"39,306"
116,웰리힐리파크스노우파크,레저스포츠,"39,242"
117,하슬라아트월드,문화관광,"39,031"
118,파인리즈CC,레저스포츠,"39,030"
119,옥스필드CC,레저스포츠,"38,278"
120,한탄강CC,레저스포츠,"37,999"
121,설해원CC,레저스포츠,"37,942"
122,삼척해양레일바이크용화정거장,레저스포츠,"37,792"
123,안반데기,체험관광,"37,137"
124,하이원리조트스키장,레저스포츠,"37,116"
125,천곡황금박쥐동굴,자연관광,"37,040"
126,사천해변,자연관광,"37,038"
127,용평리조트스키장,레저스포츠,"37,030"
128,속초등대전망대,문화관광,"36,975"
129,삼척해변,자연관광,"36,960"
130,메가박스원주센트럴,문화관광,"36,891"
131,봉평전통시장,쇼핑,"36,870"
132,남애항,자연관광,"36,801"
133,설악썬밸리CC,레저스포츠,"36,198"
134,대포항수산시장,쇼핑,"36,182"
135,동해항,자연관광,"35,476"
136,수산항,자연관광,"35,057"
137,구룡사,역사관광,"34,989"
138,영진해변,자연관광,"34,289"
139,라비에벨CC듄스코스,레저스포츠,"33,941"
140,장사항,자연관광,"33,897"
141,간현관광지,문화관광,"33,872"
142,비콘힐스골프클럽,레저스포츠,"32,784"
143,해신당공원,문화관광,"32,545"
144,제이드팰리스GC,레저스포츠,"32,452"
145,파크밸리GC,레저스포츠,"32,338"
146,라마다속초호텔스파,체험관광,"32,149"
147,공지천유원지,문화관광,"31,813"
148,흥정계곡,자연관광,"31,138"
149,CGV춘천명동,문화관광,"31,123"
150,아야진항,자연관광,"30,693"
151,이효석문학관,문화관광,"30,246"
152,무릉계곡,자연관광,"30,208"
153,허브나라농원,체험관광,"30,154"
154,송정해변,자연관광,"29,977"
155,대진항,자연관광,"29,627"
156,청평사,역사관광,"29,119"
157,오크힐스CC,레저스포츠,"28,608"
158,황지연못,자연관광,"28,599"
159,오크밸리빌리지센터,문화관광,"28,371"
160,영랑호,자연관광,"28,028"
161,의암호스카이워크,문화관광,"27,992"
162,별마로천문대,문화관광,"27,933"
163,남항진해변,자연관광,"27,885"
164,화진포의성,역사관광,"27,879"
165,삼척중앙시장,쇼핑,"27,765"
166,수타사,역사관광,"27,739"
167,모래시계공원,문화관광,"27,671"
168,휘닉스CC,레저스포츠,"27,670"
169,강릉솔향수목원,자연관광,"27,508"
170,사천항,자연관광,"27,283"
171,서울특별시공무원수련원,레저스포츠,"27,203"
172,팔봉산국민관광지,문화관광,"27,113"
173,맹방해변,자연관광,"26,980"
174,양양국제공항,기타관광,"26,879"
175,신흥사,역사관광,"26,578"
176,경포호,자연관광,"26,375"
177,강릉선교장,역사관광,"26,340"
178,모곡밤벌유원지,문화관광,"25,905"
179,화암사,역사관광,"25,875"
180,메이플비치CC,레저스포츠,"25,646"
181,대금굴,자연관광,"25,461"
182,오대산국립공원,자연관광,"25,382"
183,춘천중앙시장,쇼핑,"25,092"
184,상원사,역사관광,"24,707"
185,CGV원주,문화관광,"24,581"
186,묵호항어시장,쇼핑,"24,576"
187,롯데시네마원주무실,문화관광,"24,500"
188,봉포해변,자연관광,"24,457"
189,묵호등대,문화관광,"24,192"
190,헌화로,기타관광,"24,017"
191,롯데시네마남원주,문화관광,"23,979"
192,골든비치CC,레저스포츠,"23,943"
